page,label_object,en,vn,,,
brand_modifier_group,brand_modifier_group_multi_max_error_at_least_99,,Số lượng tối đa cho số món thêm không nhiều hơn 99.,,,
brand_modifier_group,brand_modifier_group_multi_max_label_invalid,,Số lượng tối đa cho số món thêm không hợp lệ. Vui lòng thử lại.,,,
brand_modifier,brand_modifier_name_label,,Tên món thêm,,,
brand_modifier,brand_modifier_description_label,,Mô tả chi tiết,,,
brand_modifier,brand_modifier_price_label,,Giá bán món thêm,,,
brand_modifier,brand_modifier_multi_max_label,,Số lượng tối đa cho số món thêm,,,
brand_modifier,brand_modifier_name_null,,Tên món thêm không được bỏ trống.,,,
brand_modifier,brand_modifier_name_error_at_least_2_char,,Tên món thêm phải ít nhất 2 ký tự.,,,
brand_modifier,brand_modifier_name_error_more_200_char,,Tên món thêm không nhiều hơn 200 ký tự.,,,
brand_modifier,brand_modifier_description_error_at_least_2_char,,Mô tả chi tiết phải ít nhất 2 ký tự.,,,
brand_modifier,brand_modifier_description_error_more_200_char,,Mô tả chi tiết không nhiều hơn 200 ký tự.,,,
brand_modifier,brand_modifier_price_null,,Giá bán món thêm không được bỏ trống.,,,
brand_modifier,brand_modifier_price_invalid,,Giá bán món thêm không hợp lệ. Vui lòng thử lại.,,,
brand_modifier,brand_modifier_price_error_at_least_0,,Giá bán món thêm phải ít nhất là 0đ.,,,
brand_modifier,brand_modifier_price_label_error_more_than_1000000,,"Giá bán món thêm không nhiều hơn 1,000,000đ.",,,
brand_modifier,brand_modifier_multi_max_null,,Số lượng tối đa cho số món thêm không được bỏ trống.,,,
brand_modifier,brand_modifier_multi_max_error_at_least_1,,Số lượng tối đa cho số món thêm phải ít nhất là 1.,,,
brand_modifier,brand_modifier_multi_max_error_more_than_99,,Số lượng tối đa cho số món thêm không nhiều hơn 99.,,,
brand_modifier,brand_modifier_multi_max_invalid,,Số lượng tối đa cho số món thêm không hợp lệ. Vui lòng thử lại.,,,
